Model,CV R2 (Mean),CV R2 (Std),Test R2,MAE,RMSE,MAPE (%),Negotiation Margin (%)
Linear Regression,0.7732816685029494,0.02322004300330494,0.7604440433053156,21.364221139606112,36.75648765282641,24.283131668849748,31.843575418994412
Decision Tree,0.652750638411764,0.027777019049456383,0.7021096320688289,24.297498147892433,40.98819068862941,28.46038702296607,26.0707635009311
Random Forest,0.7788579167398415,0.02057377344740422,0.7796194463266012,20.615057821013323,35.254710479467164,23.470245945271664,29.981378026070765
Gradient Boosting,0.8084891083676133,0.015342643248571758,0.7851132796778534,20.156892566278824,34.81250752249507,22.42264367020304,32.402234636871505
AdaBoost,0.7589599797522969,0.01816074740865235,0.6932767954779361,22.57221847917359,41.591428223827826,24.85221108654031,26.0707635009311
KNN,0.7561396220187401,0.025977809620269826,0.7775224647777392,21.1548244824365,35.422042500049834,24.67699535373512,29.236499068901306
SVR,0.8008865766494235,0.014052966047378889,0.7504443767924709,20.26163600423125,37.51579876943765,22.85655357542016,31.471135940409685
XGBoost,0.7820656585387192,0.016418153230034625,0.7595670863668482,20.074736828155803,36.82370453837661,23.096949763510878,31.843575418994412
LightGBM,0.8063280496871718,0.0183041884900753,0.7946514699550753,19.523731286534566,34.031125825513364,22.17692073426939,30.91247672253259
CatBoost,0.8086670785110103,0.01252005731498403,0.8030360976554313,19.298932493119523,33.329119282590085,21.76949905764517,33.5195530726257
Gradient Boosting (Tuned),0.8138469009300138,0.0,0.7913258276167257,20.053564451742442,34.30558799068807,22.38847127011413,32.774674115456236
Ensemble (Voting),0.0,0.0,0.8038411449702355,19.70231143604371,33.26093676070914,22.29471377946049,32.21601489757914
