Locality,Family_Score,Bachelor_Score,Avg_BHK,Price_Per_SqFt,Supply,Category
Ahmedabad,1.1650485436893203,2.6650485436893203,2.262135922330097,5496.805,206,Bachelor-Friendly
"Ambawadi, Ahmedabad",3.0,1.2727272727272727,3.0,8465.61,11,Family-Friendly
"Bopal, Ahmedabad",1.6428571428571428,2.357142857142857,2.5714285714285716,6304.385,14,Bachelor-Friendly
"Chandkheda, Ahmedabad",1.5172413793103448,2.3448275862068964,2.206896551724138,6349.21,29,Bachelor-Friendly
"Gota, Ahmedabad",2.05,1.9,2.45,7028.58,20,Mixed
"Jagatpur, Ahmedabad",2.3,1.6,2.7,8563.065,10,Family-Friendly
"Maninagar, Ahmedabad",1.75,2.3125,2.375,6659.37,16,Bachelor-Friendly
"Motera, Ahmedabad",2.4615384615384617,1.6153846153846154,2.769230769230769,6868.13,13,Family-Friendly
"Naranpura, Ahmedabad",3.0,1.8461538461538463,3.3076923076923075,7500.0,13,Family-Friendly
"Naroda, Ahmedabad",1.7,1.9,2.7,4566.485000000001,10,Mixed
"Narolgam, Ahmedabad",0.6363636363636364,3.272727272727273,1.8181818181818181,3439.15,11,Bachelor-Friendly
"Navrangpura, Ahmedabad",2.5454545454545454,1.5454545454545454,3.3636363636363638,8888.89,11,Family-Friendly
"Nikol, Ahmedabad",1.5238095238095237,2.4285714285714284,2.4285714285714284,5500.0,21,Bachelor-Friendly
"Paldi, Ahmedabad",2.1176470588235294,1.8823529411764706,2.764705882352941,7000.0,17,Mixed
"Shahibag, Ahmedabad",1.9,2.0,2.4,7850.14,10,Mixed
"Shela, Ahmedabad",2.576923076923077,1.0769230769230769,2.730769230769231,7304.780000000001,26,Family-Friendly
"South Bopal, Bopal, Ahmedabad",2.5,1.4285714285714286,2.9285714285714284,6458.335,14,Family-Friendly
"Vaishnodevi Circle, Ahmedabad",2.5384615384615383,1.2307692307692308,2.769230769230769,7924.92,13,Family-Friendly
"Vasna, Ahmedabad",1.2,2.6,1.9,7405.889999999999,10,Bachelor-Friendly
"Vastral, Ahmedabad",1.2105263157894737,2.8947368421052633,2.0526315789473686,4921.7,19,Bachelor-Friendly
"Vejalpur, Jivraj park, Ahmedabad",0.9090909090909091,3.0,1.4545454545454546,6302.52,11,Bachelor-Friendly
"Zundal, Ahmedabad",1.8,2.3,2.6,4782.155,10,Bachelor-Friendly
