Locality,New Booking,Resale,Price_Difference,Percent_Difference
Ahmedabad,7088.89,5490.96,1597.9300000000003,29.101104360621825
"Chandkheda, Ahmedabad",6784.955,6349.21,435.7449999999999,6.862979803786611
"Gota, Ahmedabad",6967.21,7089.95,-122.73999999999978,-1.7311828715294155
"Motera, Ahmedabad",9841.27,6791.82,3049.4500000000007,44.89886363301738
"Narolgam, Ahmedabad",8798.28,3431.9049999999997,5366.375000000001,156.36723627256586
"Nikol, Ahmedabad",5707.2,5492.615,214.58500000000004,3.9067912096515056
"Paldi, Ahmedabad",8079.85,6972.219999999999,1107.630000000001,15.886331756599779
"South Bopal, Bopal, Ahmedabad",4485.49,6666.67,-2181.1800000000003,-32.71768364115818
"Vaishnodevi Circle, Ahmedabad",4010.84,8087.875,-4077.035,-50.409223683600445
